,sentiment
0,"[{'confidence': 0.77291459810399, 'value': 'neutral'}]"
18,"[{'confidence': 0.67327160433544, 'value': 'negative'}]"
25,"[{'confidence': 0.83992045520651, 'value': 'negative'}]"
35,
46,"[{'confidence': 0.63444465073337, 'value': 'negative'}]"
61,"[{'confidence': 0.61113552969957, 'value': 'negative'}]"
68,"[{'confidence': 0.60559998933874, 'value': 'neutral'}]"
93,"[{'confidence': 0.58494854166652, 'value': 'negative'}]"
100,"[{'confidence': 0.84366089276227, 'value': 'negative'}]"
102,"[{'confidence': 0.55440927876895, 'value': 'negative'}]"
110,"[{'confidence': 0.51994519211039, 'value': 'neutral'}]"
118,
132,"[{'confidence': 0.59682361229457, 'value': 'neutral'}]"
134,
156,"[{'confidence': 0.61549042712859, 'value': 'negative'}]"
161,"[{'confidence': 0.67270624799935, 'value': 'negative'}]"
187,"[{'confidence': 0.67689848627704, 'value': 'neutral'}]"
202,"[{'confidence': 0.75304740912538, 'value': 'negative'}]"
209,"[{'confidence': 0.57297151432999, 'value': 'neutral'}]"
222,"[{'confidence': 0.51363969513471, 'value': 'neutral'}]"
227,"[{'confidence': 0.61461747763235, 'value': 'positive'}]"
230,"[{'confidence': 0.56543777518022, 'value': 'neutral'}]"
235,"[{'confidence': 0.74841087976912, 'value': 'negative'}]"
250,"[{'confidence': 0.83149987240442, 'value': 'negative'}]"
254,"[{'confidence': 0.56442810172484, 'value': 'negative'}]"
256,"[{'confidence': 0.59137642858383, 'value': 'negative'}]"
264,"[{'confidence': 0.52625180585569, 'value': 'neutral'}]"
267,"[{'confidence': 0.64699655163585, 'value': 'negative'}]"
286,"[{'confidence': 0.64185368941762, 'value': 'negative'}]"
294,"[{'confidence': 0.59911330342885, 'value': 'negative'}]"
295,"[{'confidence': 0.50958438093618, 'value': 'neutral'}]"
297,
319,"[{'confidence': 0.55352384198847, 'value': 'neutral'}]"
324,"[{'confidence': 0.57525002797136, 'value': 'negative'}]"
333,
339,"[{'confidence': 0.57846390056447, 'value': 'negative'}]"
348,"[{'confidence': 0.5865245661729, 'value': 'neutral'}]"
350,"[{'confidence': 0.65210622244687, 'value': 'negative'}]"
356,"[{'confidence': 0.67356855239041, 'value': 'negative'}]"
372,"[{'confidence': 0.5740521718438, 'value': 'neutral'}]"
379,"[{'confidence': 0.55872755804415, 'value': 'neutral'}]"
382,"[{'confidence': 0.75791716650267, 'value': 'negative'}]"
384,"[{'confidence': 0.58645535027224, 'value': 'neutral'}]"
385,"[{'confidence': 0.59250398272466, 'value': 'negative'}]"
402,"[{'confidence': 0.66257595378472, 'value': 'neutral'}]"
403,"[{'confidence': 0.52850799870399, 'value': 'neutral'}]"
405,"[{'confidence': 0.54842621804516, 'value': 'neutral'}]"
408,"[{'confidence': 0.60090708667265, 'value': 'neutral'}]"
410,
412,"[{'confidence': 0.55550714011641, 'value': 'negative'}]"
414,"[{'confidence': 0.62597870667363, 'value': 'negative'}]"
415,"[{'confidence': 0.56948482082202, 'value': 'neutral'}]"
425,"[{'confidence': 0.54657827258077, 'value': 'negative'}]"
438,"[{'confidence': 0.68809794465398, 'value': 'neutral'}]"
447,"[{'confidence': 0.62227410981102, 'value': 'neutral'}]"
474,"[{'confidence': 0.57223952941931, 'value': 'neutral'}]"
478,"[{'confidence': 0.56985245047548, 'value': 'neutral'}]"
489,
492,"[{'confidence': 0.86171406901526, 'value': 'negative'}]"
493,"[{'confidence': 0.74067646191307, 'value': 'negative'}]"
494,"[{'confidence': 0.5043147829749, 'value': 'negative'}]"
499,"[{'confidence': 0.68447010699916, 'value': 'negative'}]"
500,"[{'confidence': 0.63591242857242, 'value': 'negative'}]"
510,
531,"[{'confidence': 0.69138348674975, 'value': 'negative'}]"
536,"[{'confidence': 0.60353493195488, 'value': 'neutral'}]"
541,"[{'confidence': 0.7642394833979, 'value': 'negative'}]"
549,"[{'confidence': 0.72919751021688, 'value': 'neutral'}]"
552,"[{'confidence': 0.52446466689576, 'value': 'neutral'}]"
555,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
562,
574,"[{'confidence': 0.60062788754851, 'value': 'neutral'}]"
593,"[{'confidence': 0.52890301795143, 'value': 'negative'}]"
602,"[{'confidence': 0.78836935611522, 'value': 'neutral'}]"
629,"[{'confidence': 0.54816895256606, 'value': 'neutral'}]"
632,
656,
659,"[{'confidence': 0.5034742989777, 'value': 'neutral'}]"
660,"[{'confidence': 0.82600748798626, 'value': 'negative'}]"
